ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
583,192.16479,62.679369,0.10344435,29415.576,302.75823,0.79417235,27,492.58375,-85.011323,149.00419,1.28E+14,4.06E+13,0.19,0.06,2.96E+13,9.35E+12
584,194.8897,18.153305,0.1218681,34323.542,355.10659,0.78895199,13,531.27844,-125.52158,157.37555,1.28E+14,4.54E+13,0.26,0.092,3.86E+13,1.36E+13
585,232.22478,1.5343028,0.07465076,21546.563,219.98289,0.80129801,23,468.78554,-93.553367,144.24358,1.28E+14,3.32E+13,0.34,0.088,4.87E+13,1.26E+13
586,139.07918,41.549948,0.026805105,7928.3035,79.872296,0.81340479,13,495.93732,-84.860885,94.380547,1.28E+14,5.13E+13,0.24,0.096,3.50E+13,1.40E+13
587,126.113,48.878257,0.1590374,43927.826,459.24259,0.77883509,8,383.07741,-124.60519,154.45569,1.28E+14,5.64E+13,0.1,0.044,1.92E+13,8.46E+12
588,181.97797,51.602805,0.089559719,25651.428,262.98896,0.79712473,13,418.67557,-156.35723,209.00947,1.28E+14,5.13E+13,0.05,0.02,1.31E+13,5.24E+12
589,216.11454,2.7357156,0.05521011,16095.326,163.43667,0.80592122,24,457.47144,-72.786903,98.645964,1.28E+14,5.41E+13,0.18,0.076,2.80E+13,1.18E+13
590,200.82827,11.304939,0.090122864,25805.197,264.60725,0.79661207,18,465.86634,-99.662341,150.07706,1.28E+14,4.44E+13,0.3,0.104,4.34E+13,1.50E+13
591,218.11849,62.457357,0.093817807,26811.804,275.21423,0.79504576,9,465.38608,-151.26323,222.56057,1.28E+14,5.57E+13,0.11,0.048,2.01E+13,8.76E+12
592,239.4985,19.726207,0.06594007,19117.9,194.71177,0.80152041,8,506.26414,-253.31319,284.04774,1.27E+14,7.44E+13,0.13,0.076,2.22E+13,1.30E+13
593,119.34974,39.365959,0.095844167,27362.143,281.02306,0.79298505,23,422.19025,-101.21929,181.81295,1.27E+14,5.71E+13,0.08,0.036,1.65E+13,7.45E+12
594,178.7038,52.817871,0.06973442,20178.577,205.73286,0.79969672,23,456.84053,-88.883083,129.94676,1.27E+14,3.38E+13,0.03,0.008,1.04E+13,2.77E+12
595,127.34916,26.601579,0.057042875,16614.027,168.79008,0.80257172,14,464.20983,-162.9079,110.03526,1.27E+14,3.88E+13,0.17,0.052,2.66E+13,8.15E+12
596,152.13204,46.481791,0.1947543,52789.257,557.43921,0.76546917,18,419.01488,-123.90573,182.72679,1.26E+14,6.89E+13,0.11,0.06,2.03E+13,1.11E+13
597,123.90132,7.8736521,0.11126217,31510.232,325.03036,0.78722734,16,413.49283,-93.951893,112.30312,1.26E+14,4.59E+13,0.11,0.04,1.99E+13,7.25E+12
598,245.69637,23.938173,0.06268641,18204.97,185.24515,0.7996455,33,500.61566,-76.108356,98.645904,1.26E+14,4.58E+13,0.11,0.04,1.97E+13,7.18E+12
599,208.79729,24.404346,0.13752285,38416.768,399.20709,0.78002969,7,605.03817,-306.79123,298.87862,1.26E+14,5.62E+13,0.26,0.116,3.82E+13,1.71E+13
600,171.87254,0.14997097,0.1302102,36513.512,378.65043,0.78118936,12,413.32848,-110.92406,145.7001,1.26E+14,4.40E+13,0.08,0.028,1.65E+13,5.78E+12
601,162.27547,57.849796,0.073465141,21217.315,216.54947,0.79596461,16,437.31862,-115.33237,156.13407,1.26E+14,4.02E+13,0.05,0.016,1.29E+13,4.11E+12
602,161.56758,48.598813,0.1414819,39440.794,410.30449,0.77782767,17,526.82547,-107.51136,126.5638,1.25E+14,7.17E+13,0.07,0.04,1.54E+13,8.78E+12
603,126.43323,56.025102,0.137647,38448.948,399.55543,0.77839121,11,449.18933,-129.28928,237.66795,1.25E+14,4.57E+13,0.23,0.084,3.42E+13,1.25E+13
604,154.61245,43.515722,0.13905024,38812.365,403.49108,0.77769811,8,420.53531,-117.34888,131.10252,1.25E+14,5.84E+13,0.06,0.028,1.41E+13,6.60E+12
605,220.60194,12.937358,0.12131217,34176.887,353.53407,0.78227731,11,426.39255,-111.25748,137.82422,1.25E+14,3.85E+13,0.13,0.04,2.21E+13,6.81E+12
606,136.75284,37.021064,0.06012661,17484.52,177.78694,0.79794986,7,505.34441,-381.94288,99.869982,1.25E+14,7.50E+13,0.12,0.072,2.07E+13,1.24E+13
607,125.27327,35.805089,0.06179667,17954.775,182.65385,0.79729287,17,423.57399,-91.523349,110.86225,1.25E+14,4.33E+13,0.15,0.052,2.41E+13,8.35E+12
608,169.11242,29.273305,0.04691681,13735.703,139.15403,0.80063166,69,494.4056,-68.678809,82.826132,1.25E+14,3.32E+13,0.12,0.032,2.06E+13,5.50E+12
609,143.37102,32.025605,0.1272543,35739.822,370.31938,0.77983979,11,406.19909,-136.18815,120.56919,1.25E+14,3.65E+13,0.41,0.12,5.87E+13,1.72E+13
610,18.781568,0.31968331,0.04490559,13160.381,133.25083,0.80105857,119,479.70263,-49.828408,58.93771,1.25E+14,3.26E+13,0.26,0.068,3.69E+13,9.66E+12
611,15.3593,-0.08168,0.1097929,31117.922,320.85118,0.78430414,22,460.74967,-111.48318,138.82544,1.25E+14,3.20E+13,0.14,0.036,2.32E+13,5.95E+12
612,259.6872,26.425886,0.10526788,29905.753,307.96103,0.78546302,6,439.24859,-181.82961,279.9473,1.25E+14,5.81E+13,0.06,0.028,1.40E+13,6.54E+12
